#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_pacdm           23:theta_pacdm           24:delta_pacdr           25:theta_pacdr        
       7.235958467143e-01       1.636351139383e-06      -1.216902703794e+00       2.194373938456e-03       4.613067907146e-09       1.153266976787e-08       1.363801393875e-15       2.306533953573e-09      -9.126770278457e-01       2.194373938459e-03       6.075086056544e-01       6.960336742378e-01      -1.216902689309e+00       2.193872947461e-03       2.074757922730e-04      -9.126770506264e-01       2.195424379755e-03      -1.745235821149e-03      -1.553032410767e-06       2.076897741788e-04       3.333333250813e-01      -9.126770278468e-01       2.194374034013e-03      -1.216885786072e+00       2.194374034013e-03 
       7.310902176879e-01       1.653320759389e-06      -1.216961645075e+00       2.217091569244e-03       4.757993791603e-09       1.189498447901e-08       1.435973365179e-15       2.378996895801e-09      -9.127212338061e-01       2.217091569249e-03       6.074654680679e-01       6.960244491120e-01      -1.216961625505e+00       2.216574815987e-03       2.118823899605e-04      -9.127212645823e-01       2.218174966084e-03      -1.781526247691e-03      -1.601800458749e-06       2.121009165441e-04       3.333333249093e-01      -9.127212338080e-01       2.217091698395e-03      -1.216944373732e+00       2.217091698395e-03 
       7.385845886614e-01       1.670290825011e-06      -1.217018882694e+00       2.239804941350e-03       4.905916932519e-09       1.226479233130e-08       1.511167682505e-15       2.452958466260e-09      -9.127641620204e-01       2.239804941356e-03       6.074239403234e-01       6.960157066475e-01      -1.217018857880e+00       2.239272092460e-03       2.163343220060e-04      -9.127642010415e-01       2.240921975033e-03      -1.818189965012e-03      -1.651584225867e-06       2.165574399493e-04       3.333333247355e-01      -9.127641620234e-01       2.239805105171e-03      -1.217001254087e+00       2.239805105171e-03 
       7.460789596349e-01       1.687261336223e-06      -1.217074561820e+00       2.262514201798e-03       5.056868059429e-09       1.264217014857e-08       1.589478316633e-15       2.528434029715e-09      -9.128059213648e-01       2.262514201805e-03       6.073839443338e-01       6.960074105418e-01      -1.217074531600e+00       2.261964920480e-03       2.208315787390e-04      -9.128059688856e-01       2.263665560586e-03      -1.855226937371e-03      -1.702394106084e-06       2.210593346700e-04       3.333333245599e-01      -9.128059213692e-01       2.262514401387e-03      -1.217056572304e+00       2.262514401387e-03 
       7.535733306085e-01       1.704232293009e-06      -1.217128817276e+00       2.285219489020e-03       5.210877900468e-09       1.302719475117e-08       1.671001168619e-15       2.605438950234e-09      -9.128466129569e-01       2.285219489029e-03       6.073454064352e-01       6.959995270791e-01      -1.217128781484e+00       2.284653435054e-03       2.253741508328e-04      -9.128466692372e-01       2.286405868132e-03      -1.892637129753e-03      -1.754240492077e-06       2.256065913326e-04       3.333333243825e-01      -9.128466129629e-01       2.285219725500e-03      -1.217110463205e+00       2.285219725499e-03 
       7.610677015820e-01       1.721203695369e-06      -1.217181775076e+00       2.307920934846e-03       5.367977185801e-09       1.341994296450e-08       1.755834090657e-15       2.683988592901e-09      -9.128863313072e-01       2.307920934856e-03       6.073082569620e-01       6.959920247461e-01      -1.217181733543e+00       2.307337764587e-03       2.299620291744e-04      -9.128863966122e-01       2.309143036456e-03      -1.930420507594e-03      -1.807133775362e-06       2.301992008079e-04       3.333333242033e-01      -9.128863313152e-01       2.307921209361e-03      -1.217163052802e+00       2.307921209361e-03 
       7.725293334336e-01       1.747160034373e-06      -1.217260544960e+00       2.342632640721e-03       5.614284933467e-09       1.403571233367e-08       1.892204623951e-15       2.807142466734e-09      -9.129454087200e-01       2.342632640734e-03       6.072539733395e-01       6.959812161001e-01      -1.217260494310e+00       2.342022620938e-03       2.370661812137e-04      -9.129454883516e-01       2.343910749032e-03      -1.988926838271e-03      -1.890075459788e-06       2.373106803609e-04       3.333333239259e-01      -9.129454087314e-01       2.342632975676e-03      -1.217241252512e+00       2.342632975676e-03 
       7.839909652851e-01       1.773117414045e-06      -1.217336905679e+00       2.377336005027e-03       5.868000404876e-09       1.467000101219e-08       2.036917320667e-15       2.934000202438e-09      -9.130026792590e-01       2.377336005043e-03       6.072025716751e-01       6.959711423470e-01      -1.217336845496e+00       2.376698311693e-03       2.442762510857e-04      -9.130027738687e-01       2.378671803542e-03      -2.048305812649e-03      -1.975527237824e-06       2.445281842012e-04       3.333333236443e-01      -9.130026792746e-01       2.377336403241e-03      -1.217317034520e+00       2.377336403241e-03 
       7.954525971367e-01       1.799075838576e-06      -1.217411283085e+00       2.412031577519e-03       6.129233960244e-09       1.532308490061e-08       2.190349496065e-15       3.064616980122e-09      -9.130584623136e-01       2.412031577539e-03       6.071538322136e-01       6.959616969926e-01      -1.217411212940e+00       2.411365374363e-03       2.515922091047e-04      -9.130585725726e-01       2.413426774612e-03      -2.108557365620e-03      -2.063526316423e-06       2.518516891391e-04       3.333333233585e-01      -9.130584623342e-01       2.412032041899e-03      -1.217390824675e+00       2.412032041898e-03 
       8.069142289882e-01       1.825035304334e-06      -1.217483915651e+00       2.446719560498e-03       6.398095126346e-09       1.599523781586e-08       2.352889376314e-15       3.199047563173e-09      -9.131129367384e-01       2.446719560520e-03       6.071075856870e-01       6.959528203894e-01      -1.217483835102e+00       2.446023999004e-03       2.590140267209e-04      -9.131130633372e-01       2.448175889410e-03      -2.169681331431e-03      -2.154109797369e-06       2.592811609086e-04       3.333333230686e-01      -9.131129367646e-01       2.446720094036e-03      -1.217462861447e+00       2.446720094036e-03 
       8.183758608398e-01       1.850995811546e-06      -1.217555085656e+00       2.481400282313e-03       6.674693822077e-09       1.668673455519e-08       2.524936710507e-15       3.337346911038e-09      -9.131663142417e-01       2.481400282339e-03       6.070636606663e-01       6.959444419398e-01      -1.217554994247e+00       2.480674501727e-03       2.665416762472e-04      -9.131664578912e-01       2.482919501146e-03      -2.231677594557e-03      -2.247314822916e-06       2.668165720035e-04       3.333333227745e-01      -9.131663142745e-01       2.481400888093e-03      -1.217533427109e+00       2.481400888093e-03 
       8.298374926914e-01       1.876957363374e-06      -1.217625101353e+00       2.516074164385e-03       6.959140314854e-09       1.739785078713e-08       2.706902939568e-15       3.479570157427e-09      -9.132188260145e-01       2.516074164415e-03       6.070218869505e-01       6.959364845531e-01      -1.217624998616e+00       2.515317291712e-03       2.741751309037e-04      -9.132189874456e-01       2.517658056100e-03      -2.294546082066e-03      -2.343178571252e-06       2.744579007845e-04       3.333333224762e-01      -9.132188260546e-01       2.516074845582e-03      -1.217602829913e+00       2.516074845581e-03 
       8.412991245429e-01       1.902919957163e-06      -1.217694137769e+00       2.550741369705e-03       7.251544196701e-09       1.812886049175e-08       2.899210946976e-15       3.625772098350e-09      -9.132706033268e-01       2.550741369739e-03       6.069821308699e-01       6.959289044468e-01      -1.217694023223e+00       2.549952519713e-03       2.819143647290e-04      -9.132707832912e-01       2.552391742114e-03      -2.358286642647e-03      -2.441738134504e-06       2.822051169456e-04       3.333333221738e-01      -9.132706033752e-01       2.550742129587e-03      -1.217671244882e+00       2.550742129587e-03 
       8.584615077753e-01       1.941797695079e-06      -1.217796123131e+00       2.602639310376e-03       7.704500979346e-09       1.926125244837e-08       3.207456336812e-15       3.852250489673e-09      -9.133470923482e-01       2.602639310417e-03       6.069260831176e-01       6.959181488286e-01      -1.217795989970e+00       2.601800896444e-03       2.937006413999e-04      -9.133473015147e-01       2.604392663776e-03      -2.455360608070e-03      -2.594440390792e-06       2.940035490095e-04       3.333333217131e-01      -9.133470924108e-01       2.602640194393e-03      -1.217772283703e+00       2.602640194393e-03 
