# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  132       5.520315344470e-10       1.537485130645e-13      -5.977791965792e-12       5.516686030874e-16       3.647591791847e-12       8.066201676969e-13      -5.036026216891e-15 
  133       5.571403300513e-10       1.542372448043e-13      -6.033722639806e-12       5.605860817968e-16       3.568099149680e-12       7.941992322549e-13      -4.982645733434e-15 
  134       5.622452709326e-10       1.546583309503e-13      -6.087213030486e-12       5.695959821626e-16       3.490843813045e-12       7.820532977961e-13      -4.928397644551e-15 
  135       5.673451782442e-10       1.550114699838e-13      -6.138194637103e-12       5.786990121566e-16       3.415790738183e-12       7.701751182025e-13      -4.873221334530e-15 
  136       5.724388062138e-10       1.552964385437e-13      -6.186599728893e-12       5.878958851480e-16       3.342893802270e-12       7.585556703062e-13      -4.817050289421e-15 
  137       5.775248405329e-10       1.555130932262e-13      -6.232361384560e-12       5.971873198469e-16       3.272095528118e-12       7.471841099533e-13      -4.759811958630e-15 
  138       5.826018967471e-10       1.556613723854e-13      -6.275413531792e-12       6.065740402478e-16       3.203326808882e-12       7.360477280674e-13      -4.701427616508e-15 
  139       5.876685186453e-10       1.557412979331e-13      -6.315690986770e-12       6.160567755732e-16       3.136506632768e-12       7.251319067134e-13      -4.641812223946e-15 
  140       5.927231766499e-10       1.557529771390e-13      -6.353129493673e-12       6.256362602173e-16       3.071541807732e-12       7.144200751605e-13      -4.580874289965e-15 
  141       5.977642662064e-10       1.556966044307e-13      -6.387665764196e-12       6.353132336891e-16       3.008326686193e-12       7.038936659464e-13      -4.518515733310e-15 
  142       6.027901061730e-10       1.555724631937e-13      -6.419237517053e-12       6.450884405564e-16       2.946742889729e-12       6.935320709404e-13      -4.454631744043e-15 
  143       6.077989372108e-10       1.553809275718e-13      -6.447783517492e-12       6.549626303891e-16       2.886659033793e-12       6.833125974072e-13      -4.389110645130e-15 
  144       6.127890584901e-10       1.551224762810e-13      -6.473244172298e-12       6.649365165595e-16       2.827957973245e-12       6.732159408851e-13      -4.321879422504e-15 
  145       6.177592564006e-10       1.547977317879e-13      -6.495563297529e-12       6.750106481844e-16       2.770622147436e-12       6.632433046721e-13      -4.253045666311e-15 
  146       6.227084152419e-10       1.544074284336e-13      -6.514686600972e-12       6.851855253925e-16       2.714656164859e-12       6.534008924276e-13      -4.182769425203e-15 
  147       6.276353818943e-10       1.539524026190e-13      -6.530561184622e-12       6.954616390430e-16       2.660059921738e-12       6.436945307872e-13      -4.111218917381e-15 
  148       6.325389650029e-10       1.534335946743e-13      -6.543135587385e-12       7.058394704332e-16       2.606828484904e-12       6.341296571318e-13      -4.038570654641e-15 
  149       6.374179341623e-10       1.528520507275e-13      -6.552359827780e-12       7.163194910053e-16       2.554951974666e-12       6.247113073569e-13      -3.965009566437e-15 
  150       6.422710191018e-10       1.522089245739e-13      -6.558185446639e-12       7.269021620535e-16       2.504415447678e-12       6.154441036426e-13      -3.890729123929e-15 
  151       6.470969088695e-10       1.515054795452e-13      -6.560565549814e-12       7.375879344313e-16       2.455198779812e-12       6.063322422221e-13      -3.815931464041e-15 
  152       6.518942510173e-10       1.507430903786e-13      -6.559454850874e-12       7.483772482585e-16       2.407276549032e-12       5.973794811519e-13      -3.740827513516e-15 
  153       6.566616507858e-10       1.499232450860e-13      -6.554809713814e-12       7.592705326278e-16       2.360617918260e-12       5.885891280808e-13      -3.665637112968e-15 
  154       6.613976702883e-10       1.490475468228e-13      -6.546588195752e-12       7.702682053128e-16       2.315186518250e-12       5.799640280194e-13      -3.590589140941e-15 
  155       6.661008276962e-10       1.481177157575e-13      -6.534750089635e-12       7.813706724743e-16       2.270940330460e-12       5.715065511095e-13      -3.515921637957e-15 
  156       6.707695964235e-10       1.471355909406e-13      -6.519256966937e-12       7.925783283677e-16       2.227831569917e-12       5.632185803935e-13      -3.441881930579e-15 
  157       6.754024043111e-10       1.461031321736e-13      -6.500072220368e-12       8.038915550500e-16       2.185806568098e-12       5.551014995837e-13      -3.368726755457e-15 
